WHOREGION,FLUSEASON,HEMISPHERE,COUNTRY_AREA_TERRITORY,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,RSV
AFR,YR,NH,Cameroon,2019-11-17,2019,47,0
AFR,YR,NH,Cameroon,2019-11-24,2019,48,1
AFR,YR,NH,Cameroon,2019-12-01,2019,49,1
AFR,YR,NH,Cameroon,2019-12-08,2019,50,0
AFR,YR,NH,Cameroon,2019-12-15,2019,51,0
AFR,YR,NH,Cameroon,2019-12-22,2019,52,0
AFR,YR,NH,Cameroon,2019-12-29,2020,1,0
AFR,YR,NH,Cameroon,2020-01-05,2020,2,2
AFR,YR,NH,Cameroon,2020-01-12,2020,3,2
AFR,YR,NH,Cameroon,2020-01-19,2020,4,5
AFR,YR,NH,Cameroon,2020-01-26,2020,5,2
AFR,YR,NH,Cameroon,2020-02-02,2020,6,5
AFR,YR,NH,Cameroon,2020-02-09,2020,7,5
AFR,YR,NH,Cameroon,2020-02-16,2020,8,20
AFR,YR,NH,Cameroon,2020-02-23,2020,9,4
AFR,YR,NH,Cameroon,2020-03-01,2020,10,4
AFR,YR,NH,Cameroon,2020-03-08,2020,11,7
AFR,YR,NH,Cameroon,2020-03-15,2020,12,0
AFR,YR,NH,Cameroon,2020-03-22,2020,13,2
AFR,YR,NH,Cameroon,2020-03-29,2020,14,0
